Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al P  
   -153.44942      0.22126      0.08892      0.13233
   -153.43942      0.24604      0.09053      0.15552
   -153.42942      0.19630      0.08140      0.11490
   -153.41942      0.14963      0.06253      0.08710
   -153.40942      0.19865      0.06837      0.13028
   -153.39942      0.29636      0.08555      0.21081
   -153.38942      0.36449      0.10098      0.26351
   -153.37942      0.32659      0.10082      0.22577
   -153.36942      0.19374      0.06943      0.12431
   -153.35942      0.14145      0.06289      0.07856
   -153.34942      0.16037      0.07680      0.08356
   -153.33942      0.16202      0.07846      0.08356
   -153.32942      0.20506      0.11407      0.09099
   -153.31942      0.26384      0.15818      0.10573
   -153.30942      0.28167      0.15856      0.12367
   -153.29942      0.28855      0.15466      0.13562
   -153.28942      0.24022      0.13259      0.10962
   -153.27942      0.13507      0.07304      0.06287
   -153.26942      0.06955      0.03075      0.03893
   -153.25942      0.10601      0.03523      0.07087
   -153.24942      0.21977      0.08393      0.13688
   -153.23942      0.31885      0.15688      0.16701
   -153.22942      0.32879      0.17882      0.15933
   -153.21942      0.27336      0.13001      0.15019
   -153.20942      0.30894      0.13158      0.17967
   -153.19942      0.32427      0.15204      0.17517
   -153.18942      0.27506      0.15370      0.12987
   -153.17942      0.25301      0.14741      0.11543
   -153.16942      0.28067      0.13233      0.15252
   -153.15942      0.31117      0.12973      0.18219
   -153.14942      0.31874      0.12892      0.19032
   -153.13942      0.42399      0.15870      0.26618
   -153.12942      0.50895      0.17756      0.33202
   -153.11942      0.33837      0.11657      0.22197
   -153.10942      0.23231      0.09029      0.14204
   -153.09942      0.34794      0.13736      0.21058
   -153.08942      0.37286      0.12983      0.24303
   -153.07942      0.28178      0.08845      0.19333
   -153.06942      0.24550      0.09112      0.15438
   -153.05942      0.33964      0.14989      0.18976
   -153.04942      0.36274      0.16477      0.19799
   -153.03942      0.24214      0.10416      0.13816
   -153.02942      0.22596      0.09619      0.13104
   -153.01942      0.25804      0.12836      0.13382
   -153.00942      0.23804      0.13378      0.11224
   -152.99942      0.25143      0.13205      0.12765
   -152.98942      0.33569      0.13664      0.20276
   -152.97942      0.39416      0.13998      0.25505
   -152.96942      0.31574      0.10567      0.21271
   -152.95942      0.29090      0.07699      0.22457
   -152.94942      0.35220      0.08234      0.28633
   -152.93942      0.41827      0.13586      0.29202
   -152.92942      0.53851      0.23317      0.30747
   -152.91942      0.54842      0.28100      0.26760
   -152.90942      0.40379      0.23033      0.17346
   -152.89942      0.30660      0.15374      0.15285
   -152.88942      0.28573      0.12326      0.16247
   -152.87942      0.20681      0.10728      0.09953
   -152.86942      0.14392      0.10334      0.04059
   -152.85942      0.14009      0.07994      0.06015
   -152.84942      0.18946      0.06055      0.12892
   -152.83942      0.16650      0.04612      0.12038
   -152.82942      0.07268      0.02127      0.05141
   -152.81942      0.07554      0.02386      0.05168
   -152.80942      0.15894      0.05391      0.10505
   -152.79942      0.18351      0.07712      0.10667
   -152.78942      0.18927      0.10384      0.08849
   -152.77942      0.26621      0.16707      0.11170
   -152.76942      0.31815      0.20273      0.13454
   -152.75942      0.29828      0.14248      0.16654
   -152.74942      0.29633      0.11304      0.18552
   -152.73942      0.28522      0.14159      0.14381
   -152.72942      0.27222      0.17088      0.10134
   -152.71942      0.26245      0.15125      0.11121
   -152.70942      0.29443      0.12649      0.16794
   -152.69942      0.34768      0.12830      0.21944
   -152.68942      0.33784      0.13436      0.20396
   -152.67942      0.27095      0.13221      0.14046
   -152.66942      0.28005      0.12108      0.16122
   -152.65942      0.32367      0.09475      0.23000
   -152.64942      0.33038      0.09369      0.23689
   -152.63942      0.35838      0.11611      0.24228
   -152.62942      0.40054      0.13173      0.26881
   -152.61942      0.32470      0.10346      0.22125
   -152.60942      0.18945      0.06272      0.12673
   -152.59942      0.13566      0.05220      0.08346
   -152.58942      0.08813      0.03365      0.05449
   -152.57942      0.07649      0.01919      0.05730
   -152.56942      0.14927      0.03476      0.11451
   -152.55942      0.26186      0.07143      0.19042
   -152.54942      0.34741      0.11330      0.23411
   -152.53942      0.34373      0.13002      0.21371
   -152.52942      0.23311      0.08671      0.14640
   -152.51942      0.09190      0.03085      0.06121
   -152.50942      0.03605      0.01009      0.02790
   -152.49942      0.09372      0.02475      0.07772
   -152.48942      0.22639      0.07272      0.16819
   -152.47942      0.33881      0.13139      0.21630
   -152.46942      0.38490      0.16004      0.22695
   -152.45942      0.36598      0.15240      0.21469
   -152.44942      0.31782      0.15331      0.16773
   -152.43942      0.34359      0.18943      0.15827
   -152.42942      0.46994      0.24380      0.22806
   -152.41942      0.59774      0.28123      0.31684
   -152.40942      0.61786      0.26552      0.35238
   -152.39942      0.60247      0.24727      0.35572
   -152.38942      0.65945      0.29378      0.37006
   -152.37942      0.76853      0.39913      0.38304
   -152.36942      0.70469      0.41220      0.30808
   -152.35942      0.43915      0.26033      0.18538
   -152.34942      0.26813      0.12855      0.14060
   -152.33942      0.22392      0.11329      0.11069
   -152.32942      0.21688      0.13216      0.08473
   -152.31942      0.21784      0.13175      0.08609
   -152.30942      0.16406      0.09643      0.06763
   -152.29942      0.08166      0.04793      0.03373
   -152.28942      0.05469      0.02784      0.02697
   -152.27942      0.11373      0.04812      0.06697
   -152.26942      0.28585      0.12186      0.16924
