Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al Sb 
     -1.35052      3.89462      0.00000      0.00000
     -1.34052      4.02246      0.00000      0.00000
     -1.33052      4.11780      0.00000      0.00000
     -1.32052      3.93667      0.00000      0.00000
     -1.31052      3.81225      0.00000      0.00000
     -1.30052      3.73732      0.00000      0.00000
     -1.29052      3.73283      0.00000      0.00000
     -1.28052      3.87934      0.00000      0.00000
     -1.27052      3.99144      0.00000      0.00000
     -1.26052      4.14578      0.00000      0.00000
     -1.25052      4.08073      0.00000      0.00000
     -1.24052      3.80419      0.00000      0.00000
     -1.23052      3.75553      0.00000      0.00000
     -1.22052      3.73687      0.00000      0.00000
     -1.21052      4.00357      0.00000      0.00000
     -1.20052      4.23203      0.00000      0.00000
     -1.19052      3.85524      0.00000      0.00000
     -1.18052      3.89197      0.00000      0.00000
     -1.17052      4.31605      0.00000      0.00000
     -1.16052      3.89901      0.00000      0.00000
     -1.15052      3.34392      0.00000      0.00000
     -1.14052      3.29033      0.00000      0.00000
     -1.13052      3.59831      0.00000      0.00000
     -1.12052      3.91915      0.00000      0.00000
     -1.11052      3.99685      0.00000      0.00000
     -1.10052      3.99990      0.00000      0.00000
     -1.09052      4.09167      0.00000      0.00000
     -1.08052      4.06370      0.00000      0.00000
     -1.07052      4.05573      0.00000      0.00000
     -1.06052      4.14687      0.00000      0.00000
     -1.05052      4.06361      0.00000      0.00000
     -1.04052      3.72844      0.00000      0.00000
     -1.03052      3.57974      0.00000      0.00000
     -1.02052      3.87119      0.00000      0.00000
     -1.01052      3.84077      0.00000      0.00000
     -1.00052      3.30834      0.00000      0.00000
     -0.99052      3.18116      0.00000      0.00000
     -0.98052      3.40287      0.00000      0.00000
     -0.97052      3.43528      0.00000      0.00000
     -0.96052      3.39379      0.00000      0.00000
     -0.95052      3.53752      0.00000      0.00000
     -0.94052      3.88419      0.00000      0.00000
     -0.93052      4.23465      0.00000      0.00000
     -0.92052      4.17926      0.00000      0.00000
     -0.91052      3.65341      0.00000      0.00000
     -0.90052      3.43097      0.00000      0.00000
     -0.89052      3.66820      0.00000      0.00000
     -0.88052      3.95521      0.00000      0.00000
     -0.87052      3.61018      0.00000      0.00000
     -0.86052      2.76388      0.00000      0.00000
     -0.85052      2.71797      0.00000      0.00000
     -0.84052      3.21550      0.00000      0.00000
     -0.83052      3.26570      0.00000      0.00000
     -0.82052      3.24466      0.00000      0.00000
     -0.81052      3.39940      0.00000      0.00000
     -0.80052      3.31047      0.00000      0.00000
     -0.79052      2.92207      0.00000      0.00000
     -0.78052      2.52691      0.00000      0.00000
     -0.77052      2.58016      0.00000      0.00000
     -0.76052      2.89280      0.00000      0.00000
     -0.75052      2.95554      0.00000      0.00000
     -0.74052      2.91918      0.00000      0.00000
     -0.73052      3.10432      0.00000      0.00000
     -0.72052      3.22277      0.00000      0.00000
     -0.71052      2.95583      0.00000      0.00000
     -0.70052      2.61791      0.00000      0.00000
     -0.69052      2.60958      0.00000      0.00000
     -0.68052      2.94063      0.00000      0.00000
     -0.67052      3.04672      0.00000      0.00000
     -0.66052      2.65727      0.00000      0.00000
     -0.65052      2.30906      0.00000      0.00000
     -0.64052      2.37782      0.00000      0.00000
     -0.63052      2.44802      0.00000      0.00000
     -0.62052      2.36943      0.00000      0.00000
     -0.61052      2.60504      0.00000      0.00000
     -0.60052      2.78459      0.00000      0.00000
     -0.59052      2.50562      0.00000      0.00000
     -0.58052      2.34146      0.00000      0.00000
     -0.57052      2.42285      0.00000      0.00000
     -0.56052      2.38918      0.00000      0.00000
     -0.55052      2.26766      0.00000      0.00000
     -0.54052      2.25528      0.00000      0.00000
     -0.53052      2.52245      0.00000      0.00000
     -0.52052      2.74174      0.00000      0.00000
     -0.51052      2.53140      0.00000      0.00000
     -0.50052      2.30627      0.00000      0.00000
     -0.49052      2.12509      0.00000      0.00000
     -0.48052      2.00298      0.00000      0.00000
     -0.47052      2.00309      0.00000      0.00000
     -0.46052      2.19906      0.00000      0.00000
     -0.45052      2.40170      0.00000      0.00000
     -0.44052      2.23073      0.00000      0.00000
     -0.43052      1.78940      0.00000      0.00000
     -0.42052      1.67102      0.00000      0.00000
     -0.41052      1.81849      0.00000      0.00000
     -0.40052      1.82423      0.00000      0.00000
