Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Zn O  
   -152.80644      0.67977      0.42366      0.25611
   -152.79644      0.56980      0.35673      0.21307
   -152.78644      0.59293      0.36195      0.23099
   -152.77644      0.60860      0.35003      0.25856
   -152.76644      0.65297      0.36328      0.28969
   -152.75644      0.75653      0.44143      0.31511
   -152.74644      0.80401      0.49233      0.31169
   -152.73644      0.66881      0.41525      0.25356
   -152.72644      0.51606      0.31690      0.19917
   -152.71644      0.34004      0.20212      0.13792
   -152.70644      0.25212      0.14245      0.10967
   -152.69644      0.34598      0.18599      0.15999
   -152.68644      0.48799      0.25034      0.23765
   -152.67644      0.51181      0.26335      0.24846
   -152.66644      0.57612      0.31979      0.25633
   -152.65644      0.61853      0.36199      0.25654
   -152.64644      0.57854      0.33936      0.23918
   -152.63644      0.57094      0.33407      0.23687
   -152.62644      0.65815      0.39171      0.26644
   -152.61644      0.82561      0.48886      0.33675
   -152.60644      0.84788      0.49530      0.35258
   -152.59644      0.79367      0.45943      0.33425
   -152.58644      0.76765      0.44089      0.32677
   -152.57644      0.64329      0.36665      0.27664
   -152.56644      0.54583      0.30894      0.23689
   -152.55644      0.60209      0.32875      0.27334
   -152.54644      0.73829      0.38159      0.35671
   -152.53644      0.74738      0.37089      0.37649
   -152.52644      0.61236      0.30690      0.30546
   -152.51644      0.45076      0.24289      0.20787
   -152.50644      0.43042      0.25240      0.17803
   -152.49644      0.54930      0.32962      0.21968
   -152.48644      0.54102      0.32927      0.21175
   -152.47644      0.47951      0.29559      0.18393
   -152.46644      0.59618      0.36316      0.23302
   -152.45644      0.72254      0.42953      0.29301
   -152.44644      0.65917      0.38411      0.27505
   -152.43644      0.69296      0.39951      0.29345
   -152.42644      0.90823      0.52176      0.38647
   -152.41644      1.01587      0.58367      0.43219
   -152.40644      0.83958      0.47487      0.36471
   -152.39644      0.59298      0.32666      0.26632
   -152.38644      0.50171      0.28169      0.22002
   -152.37644      0.54039      0.31338      0.22701
   -152.36644      0.60237      0.34383      0.25854
   -152.35644      0.55028      0.31307      0.23721
   -152.34644      0.35433      0.20734      0.14699
   -152.33644      0.25750      0.15353      0.10397
   -152.32644      0.24562      0.14128      0.10434
   -152.31644      0.21380      0.11206      0.10174
   -152.30644      0.28784      0.15426      0.13359
   -152.29644      0.43805      0.25230      0.18576
   -152.28644      0.54416      0.31762      0.22654
   -152.27644      0.60853      0.34659      0.26194
   -152.26644      0.63946      0.35987      0.27958
   -152.25644      0.54911      0.31551      0.23360
   -152.24644      0.35452      0.20808      0.14645
   -152.23644      0.24487      0.14565      0.09922
   -152.22644      0.23884      0.14309      0.09575
   -152.21644      0.22678      0.13572      0.09106
   -152.20644      0.24542      0.14534      0.10007
   -152.19644      0.24723      0.14488      0.10235
   -152.18644      0.33777      0.20263      0.13514
   -152.17644      0.42023      0.25390      0.16632
   -152.16644      0.28070      0.16056      0.12014
   -152.15644      0.16698      0.07929      0.08769
   -152.14644      0.16195      0.07751      0.08444
   -152.13644      0.23740      0.12567      0.11173
   -152.12644      0.33125      0.18189      0.14936
   -152.11644      0.33586      0.18880      0.14706
   -152.10644      0.33145      0.18985      0.14160
   -152.09644      0.38553      0.22201      0.16351
   -152.08644      0.45159      0.25562      0.19597
   -152.07644      0.56203      0.31160      0.25043
   -152.06644      0.61772      0.34244      0.27528
   -152.05644      0.64757      0.36524      0.28233
   -152.04644      0.79199      0.44432      0.34766
   -152.03644      0.75730      0.41245      0.34485
   -152.02644      0.52861      0.28731      0.24130
   -152.01644      0.48460      0.28178      0.20282
   -152.00644      0.63264      0.37602      0.25662
   -151.99644      0.63752      0.36795      0.26956
   -151.98644      0.46807      0.25162      0.21645
   -151.97644      0.28770      0.14663      0.14107
   -151.96644      0.25140      0.13658      0.11481
   -151.95644      0.34352      0.19288      0.15064
   -151.94644      0.44332      0.24939      0.19393
   -151.93644      0.47529      0.27124      0.20406
   -151.92644      0.47269      0.26580      0.20690
   -151.91644      0.37518      0.20532      0.16986
   -151.90644      0.19861      0.10919      0.08941
   -151.89644      0.18969      0.10706      0.08263
   -151.88644      0.29386      0.16676      0.12709
   -151.87644      0.45395      0.25847      0.19548
   -151.86644      0.64396      0.35647      0.28749
   -151.85644      0.75041      0.40052      0.34989
   -151.84644      0.67487      0.35270      0.32217
   -151.83644      0.46409      0.24370      0.22039
   -151.82644      0.28415      0.15523      0.12892
   -151.81644      0.21547      0.11858      0.09690
   -151.80644      0.28808      0.15193      0.13615
   -151.79644      0.32760      0.16460      0.16299
   -151.78644      0.30086      0.14723      0.15363
   -151.77644      0.45335      0.22516      0.22819
   -151.76644      0.66552      0.33155      0.33397
   -151.75644      0.58204      0.29886      0.28317
   -151.74644      0.36901      0.19603      0.17299
   -151.73644      0.33749      0.17163      0.16586
   -151.72644      0.31609      0.15529      0.16079
   -151.71644      0.28743      0.14784      0.13958
   -151.70644      0.44656      0.24339      0.20317
   -151.69644      0.62262      0.34626      0.27636
   -151.68644      0.57040      0.31199      0.25841
   -151.67644      0.44914      0.22973      0.21941
   -151.66644      0.44045      0.22383      0.21661
   -151.65644      0.46874      0.25017      0.21857
   -151.64644      0.48533      0.26200      0.22333
   -151.63644      0.51404      0.27349      0.24054
   -151.62644      0.55337      0.29453      0.25884
   -151.61644      0.62353      0.33350      0.29003
   -151.60644      0.67078      0.35415      0.31662
   -151.59644      0.54270      0.27970      0.26300
   -151.58644      0.39845      0.20702      0.19142
   -151.57644      0.41076      0.21900      0.19176
   -151.56644      0.59287      0.31761      0.27526
   -151.55644      0.79750      0.42670      0.37080
   -151.54644      0.79832      0.42356      0.37476
   -151.53644      0.62666      0.32414      0.30252
   -151.52644      0.54523      0.28460      0.26063
   -151.51644      0.65567      0.34888      0.30679
   -151.50644      0.62266      0.32648      0.29619
   -151.49644      0.39624      0.20325      0.19299
   -151.48644      0.36902      0.18586      0.18316
   -151.47644      0.56436      0.28247      0.28189
   -151.46644      0.57201      0.29036      0.28165
   -151.45644      0.50932      0.26693      0.24239
   -151.44644      0.60874      0.31480      0.29394
   -151.43644      0.70165      0.35545      0.34620
   -151.42644      0.65157      0.33072      0.32086
   -151.41644      0.61926      0.31920      0.30006
   -151.40644      0.59041      0.30713      0.28328
   -151.39644      0.57332      0.29332      0.28000
   -151.38644      0.71826      0.36196      0.35630
   -151.37644      0.81239      0.41318      0.39921
   -151.36644      0.78290      0.39305      0.38985
   -151.35644      0.81188      0.40029      0.41158
   -151.34644      0.93062      0.47086      0.45975
   -151.33644      1.07242      0.55415      0.51827
   -151.32644      1.25487      0.64814      0.60672
   -151.31644      1.32692      0.67498      0.65194
   -151.30644      1.20730      0.61167      0.59562
   -151.29644      1.03194      0.54160      0.49035
   -151.28644      0.95872      0.51572      0.44299
