Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
     -1.50000      1.75231      0.63592      1.11639
     -1.49000      1.57150      0.58242      0.98907
     -1.48000      1.56898      0.55820      1.01079
     -1.47000      1.73844      0.59996      1.13848
     -1.46000      2.04925      0.71094      1.33832
     -1.45000      2.03185      0.71385      1.31800
     -1.44000      1.84324      0.64809      1.19515
     -1.43000      1.85631      0.64618      1.21012
     -1.42000      1.81866      0.62974      1.18892
     -1.41000      1.74583      0.60595      1.13987
     -1.40000      1.80989      0.63072      1.17917
     -1.39000      1.85036      0.65010      1.20026
     -1.38000      1.82057      0.64393      1.17664
     -1.37000      1.85340      0.65376      1.19964
     -1.36000      1.94208      0.68831      1.25377
     -1.35000      2.05273      0.72528      1.32745
     -1.34000      2.11498      0.73604      1.37894
     -1.33000      1.95505      0.66900      1.28605
     -1.32000      1.70101      0.56771      1.13330
     -1.31000      1.42226      0.45973      0.96253
     -1.30000      1.41089      0.45140      0.95950
     -1.29000      1.52318      0.50163      1.02154
     -1.28000      1.64616      0.56408      1.08208
     -1.27000      1.82483      0.62260      1.20222
     -1.26000      1.86043      0.62384      1.23659
     -1.25000      1.82430      0.61314      1.21116
     -1.24000      1.70612      0.58628      1.11983
     -1.23000      1.68564      0.58588      1.09976
     -1.22000      1.98379      0.66615      1.31764
     -1.21000      2.17854      0.73175      1.44679
     -1.20000      1.89216      0.66850      1.22366
     -1.19000      1.51981      0.54617      0.97364
     -1.18000      1.47180      0.51552      0.95628
     -1.17000      1.77994      0.60810      1.17184
     -1.16000      2.33716      0.76952      1.56764
     -1.15000      2.55593      0.81395      1.74198
     -1.14000      2.09063      0.65745      1.43318
     -1.13000      1.51132      0.48595      1.02537
     -1.12000      1.29615      0.42999      0.86616
     -1.11000      1.33659      0.44471      0.89188
     -1.10000      1.44337      0.47011      0.97326
     -1.09000      1.67093      0.53780      1.13312
     -1.08000      1.90272      0.61374      1.28898
     -1.07000      1.94296      0.63335      1.30961
     -1.06000      1.89270      0.62768      1.26502
     -1.05000      1.85279      0.61990      1.23289
     -1.04000      1.78355      0.58848      1.19508
     -1.03000      1.77468      0.57536      1.19932
     -1.02000      1.89158      0.61372      1.27787
     -1.01000      2.05930      0.66979      1.38951
     -1.00000      2.20666      0.69943      1.50722
     -0.99000      2.09518      0.64722      1.44796
     -0.98000      1.63501      0.50894      1.12608
     -0.97000      1.30264      0.41074      0.89190
     -0.96000      1.44156      0.45224      0.98932
     -0.95000      1.71125      0.53736      1.17389
     -0.94000      1.58233      0.50786      1.07447
