Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Cd S  
     -0.73003      1.61232      0.33479      1.27753
     -0.72003      1.77422      0.36791      1.40631
     -0.71003      1.60090      0.32798      1.27292
     -0.70003      1.39054      0.28239      1.10816
     -0.69003      1.28233      0.26145      1.02088
     -0.68003      1.22163      0.24988      0.97176
     -0.67003      1.22879      0.24944      0.97934
     -0.66003      1.37982      0.27865      1.10118
     -0.65003      1.53701      0.31322      1.22379
     -0.64003      1.65791      0.34045      1.31747
     -0.63003      1.59574      0.32341      1.27233
     -0.62003      1.29634      0.25853      1.03781
     -0.61003      1.03773      0.20571      0.83202
     -0.60003      0.93000      0.18411      0.74589
     -0.59003      0.96890      0.19152      0.77738
     -0.58003      1.13288      0.22439      0.90849
     -0.57003      1.26156      0.25125      1.01031
     -0.56003      1.29418      0.25709      1.03709
     -0.55003      1.28133      0.25354      1.02779
     -0.54003      1.19912      0.23761      0.96150
     -0.53003      1.01563      0.20083      0.81481
     -0.52003      0.93602      0.18308      0.75294
     -0.51003      1.07672      0.20903      0.86769
     -0.50003      1.21715      0.23621      0.98094
     -0.49003      1.22897      0.23852      0.99044
     -0.48003      1.16640      0.22743      0.93898
     -0.47003      1.07811      0.21037      0.86774
     -0.46003      0.91732      0.17733      0.73999
     -0.45003      0.84485      0.16253      0.68232
     -0.44003      0.91320      0.17484      0.73835
     -0.43003      0.89711      0.17030      0.72680
     -0.42003      0.82740      0.15612      0.67128
     -0.41003      0.84505      0.15885      0.68620
     -0.40003      0.95254      0.17851      0.77404
     -0.39003      0.98387      0.18464      0.79923
     -0.38003      0.88061      0.16685      0.71376
     -0.37003      0.78309      0.14922      0.63387
     -0.36003      0.75369      0.14209      0.61161
     -0.35003      0.79412      0.14864      0.64549
     -0.34003      0.91228      0.16952      0.74276
     -0.33003      0.98593      0.18150      0.80443
     -0.32003      0.80709      0.14788      0.65921
     -0.31003      0.59458      0.10912      0.48546
     -0.30003      0.56769      0.10455      0.46314
     -0.29003      0.65603      0.12064      0.53539
     -0.28003      0.75797      0.13808      0.61989
     -0.27003      0.75831      0.13684      0.62147
     -0.26003      0.58769      0.10577      0.48192
     -0.25003      0.48939      0.08807      0.40132
     -0.24003      0.55987      0.10019      0.45968
     -0.23003      0.63240      0.11264      0.51976
     -0.22003      0.65744      0.11705      0.54039
     -0.21003      0.65508      0.11715      0.53793
     -0.20003      0.56236      0.10084      0.46152
     -0.19003      0.44117      0.07836      0.36281
     -0.18003      0.45123      0.07919      0.37204
     -0.17003      0.47459      0.08304      0.39155
     -0.16003      0.42808      0.07472      0.35336
     -0.15003      0.43133      0.07521      0.35612
     -0.14003      0.39101      0.06807      0.32294
     -0.13003     -0.36807     -0.06754     -0.30053
     -0.12003     -4.04511     -0.72548     -3.31963
     -0.11003     -9.18367     -1.64457     -7.53910
     -0.10003     -7.30970     -1.30915     -6.00055
     -0.09003     -1.97172     -0.35472     -1.61700
     -0.08003      0.01718      0.00068      0.01650
     -0.07003      0.21143      0.03562      0.17581
     -0.06003      0.19527      0.03283      0.16244
     -0.05003      0.19127      0.03206      0.15921
     -0.04003      0.05240      0.00898      0.04342
     -0.03003     -1.27755     -0.21067     -1.06688
     -0.02003     -7.09903     -1.17142     -5.92762
     -0.01003    -15.80817     -2.60863    -13.19953
     -0.00003    -16.01121     -2.64216    -13.36905
      0.00997     -7.41652     -1.22387     -6.19264
      0.01997     -1.46415     -0.24161     -1.22253
      0.02997     -0.11450     -0.01889     -0.09560
      0.03997     -0.00340     -0.00056     -0.00284
      0.04997     -0.00004     -0.00001     -0.00003
      0.05997      0.00000      0.00000      0.00000
      0.06997      0.00000      0.00000      0.00000
      0.07997      0.00000      0.00000      0.00000
      0.08997      0.00000      0.00000      0.00000
      0.09997      0.00000      0.00000      0.00000
      0.10997      0.00000      0.00000      0.00000
      0.11997      0.00000      0.00000      0.00000
      0.12997      0.00000      0.00000      0.00000
      0.13997      0.00000      0.00000      0.00000
      0.14997      0.00000      0.00000      0.00000
      0.15997      0.00000      0.00000      0.00000
      0.16997      0.00000      0.00000      0.00000
      0.17997      0.00000      0.00000      0.00000
      0.18997      0.00000      0.00000      0.00000
      0.19997      0.00000      0.00000      0.00000
      0.20997      0.00000      0.00000      0.00000
      0.21997      0.00000      0.00000      0.00000
      0.22997      0.00000      0.00000      0.00000
      0.23997      0.00000      0.00000      0.00000
      0.24997      0.00000      0.00000      0.00000
      0.25997      0.00000      0.00000      0.00000
      0.26997      0.00000      0.00000      0.00000
      0.27997      0.00000      0.00000      0.00000
      0.28997      0.00000      0.00000      0.00000
      0.29997      0.00000      0.00000      0.00000
      0.30997      0.00000      0.00000      0.00000
      0.31997      0.00000      0.00000      0.00000
      0.32997      0.00000      0.00000      0.00000
      0.33997      0.00000      0.00000      0.00000
      0.34997      0.00000      0.00000      0.00000
      0.35997      0.00000      0.00000      0.00000
      0.36997      0.00000      0.00000      0.00000
      0.37997      0.00000      0.00000      0.00000
      0.38997      0.00000      0.00000      0.00000
      0.39997      0.00000      0.00000      0.00000
      0.40997      0.00000      0.00000      0.00000
      0.41997      0.00000      0.00000      0.00000
      0.42997      0.00000      0.00000      0.00000
      0.43997      0.00000      0.00000      0.00000
      0.44997      0.00000      0.00000      0.00000
      0.45997      0.00000      0.00000      0.00000
      0.46997     -0.00206     -0.00195     -0.00011
      0.47997     -0.07665     -0.07251     -0.00413
      0.48997     -1.05012     -0.99351     -0.05661
      0.49997     -5.29296     -5.00765     -0.28531
